,pos,word_en,word_sp,positive,new_negetive ,objective,index,synset,meaning,negative
0,a,वापस,,0.125,0.0,0.875,0,139126,"involving reasoning from facts or particulars to general principles or from effects to causes; ""a posteriori demonstration"" ",0.0
1,a,संभवतः,,0.25,0.0,0.75,0,138912,"involving deductive reasoning from a general principle to a necessary effect; not supported by fact; ""an a priori judgment"" ",0.0
3,a,छोड़ा हुआ,,0.5,0.0,0.5,1,1317231,"free from constraint; ""an abandoned sadness born of grief""- Liam O'Flaherty ",0.0
5,a,घबराया हुआ,,0.0,0.375,0.625,0,531628,"feeling or caused to feel uneasy and self-conscious; ""felt abashed at the extravagant praise""; ""chagrined at the poor sales of his book""; ""was embarrassed by her child's tantrums"" ",-0.375
6,a,abatable,,0.625,0.0,0.375,0,2288022,capable of being abated ,0.0
7,a,घिनौना,,0.0,0.75,0.25,0,1625063,"offensive to the mind; ""an abhorrent deed""; ""the obscene massacre at Wounded Knee""; ""morally repugnant customs""; ""repulsive behavior""; ""the most repulsive character in recent novels"" ",-0.75
8,a,स्थायी,,0.375,0.0,0.625,0,1754873,"unceasing; ""an abiding belief""; ""imperishable truths"" ",0.0
9,a,अधम,,0.625,0.0,0.375,3,789281,"showing humiliation or submissiveness; ""an abject apology"" ",0.0
13,a,पंचमी विभक्ति,,0.625,0.0,0.375,1,50260,"tending to ablate; i.e. to be removed or vaporized at very high temperature; ""ablative material on a rocket cone"" ",0.0
14,a,योग्य,,0.125,0.0,0.875,1,510348,"have the skills and qualifications to do things well; ""able teachers""; ""a capable administrator""; ""children as young as 14 can be extremely capable and dependable"" ",0.0
18,a,ह्रष्ट-पुष्ट,,0.25,0.0,0.75,0,1017439,"having a strong healthy body; ""an able seaman""; ""every able-bodied young man served in the army"" ",0.0
19,a,फूलने की अवस्था में,,0.125,0.0,0.875,0,1488856,"bursting into flower; ""flowering spring trees"" ",0.0
20,a,असामान्य,,0.0,0.25,0.75,1,1598592,"departing from the normal in e.g. intelligence and development; ""they were heartbroken when they learned their child was abnormal""; ""an abnormal personality"" ",-0.25
23,a,घिनौना,,0.0,0.25,0.75,0,1460679,"unequivocally detestable; ""abominable treatment of prisoners""; ""detestable vices""; ""execrable crimes""; ""consequences odious to those you govern""- Edmund Burke ",-0.25
26,a,निष्फल,,0.0,0.25,0.75,0,1082714,"failing to accomplish an intended result; ""an abortive revolt""; ""a stillborn plot to assassinate the President"" ",-0.25
29,a,ऊपर,,0.0,0.125,0.875,0,125993,"appearing earlier in the same text; ""flaws in the above interpretation"" ",-0.125
30,a,उपरोक्त,,0.0,0.125,0.875,0,126116,mentioned or named earlier in the same text ,-0.125
31,a,उपर नामित,,0.0,0.125,0.875,0,126116,mentioned or named earlier in the same text ,-0.125
32,a,अपघर्षक,,0.0,0.375,0.625,0,2239289,causing abrasion ,-0.375
33,a,बराबर में,,0.25,0.0,0.75,0,1306645,"being up to particular standard or level especially in being up to date in knowledge; ""kept abreast of the latest developments""; ""constant revision keeps the book au courant""; ""always au fait on the latest events""; ""up on the news"" ",0.0
34,a,अचानक-सुफ़ने,,0.25,0.0,0.75,0,2172617,(of a leaf shape) pinnate with a pair of leaflets at the apex ,0.0
36,a,अनुपस्थित,,0.0,0.625,0.375,1,927832,"nonexistent; ""the thumb is absent""; ""her appetite was lacking""  ",-0.625
37,a,पूर्ण,absoluto,0.5,0.0,0.5,0,5205,"perfect or complete or pure; ""absolute loyalty""; ""absolute silence""; ""absolute truth""; ""absolute alcohol"" ",0.0
40,a,बरी,,0.625,0.0,0.375,0,1320184,"freed from any question of guilt; ""is absolved from all blame""; ""was now clear of the charge of cowardice""; ""his official honor is vindicated"" ",0.0
41,a,absolvitory,,0.25,0.0,0.75,0,923495,providing absolution ,0.0
42,a,अवशोषित,,0.5,0.0,0.5,0,8734,capable of being absorbed or taken in through the pores of a surface ,0.0
43,a,शोषक,,0.375,0.0,0.625,0,6777,inducing or promoting absorption ,0.0
44,a,अवशोषित,,0.5,0.0,0.5,0,1344171,"capable of arousing and holding the attention; ""a fascinating story"" ",0.0
45,a,abstentious,,0.0,0.625,0.375,0,9346,"self-restraining; not indulging an appetite especially for food or drink; ""not totally abstinent but abstemious"" ",-0.625
46,a,संयमी,,0.0,0.625,0.375,0,9346,"self-restraining; not indulging an appetite especially for food or drink; ""not totally abstinent but abstemious"" ",-0.625
47,a,भावात्मक,,0.375,0.0,0.625,0,860932,"of an abstracting nature or having the power of abstracting; ""abstractive analysis"" ",0.0
48,a,बेतुका,,0.375,0.0,0.625,0,1431112,"inconsistent with reason or logic or common sense; ""the absurd predicament of seeming to argue that virtue is highly desirable but intensely unpleasant""- Walter Lippman ",0.0
50,a,abulic,,0.0,0.75,0.25,0,1583486,suffering from abulia; showing abnormal inability to act or make decisions ,-0.75
51,a,प्रचुर,,0.0,0.25,0.75,0,13887,"present in great quantity; ""an abundant supply of water"" ",-0.25
52,a,दुर्व्यवहार,maltratado,0.0,0.625,0.375,1,17352,"subjected to cruel treatment; ""an abused wife"" ",-0.625
53,a,अपमानजनक,,0.0,0.875,0.125,0,1628531,expressing offensive reproach ,-0.875
55,a,शैक्षिक,,0.5,0.0,0.5,2,2083908,marked by a narrow focus on or display of learning especially its trivial aspects ,0.0
59,a,अनुपजाऊ,,0.0,0.375,0.625,0,1082925,producing no fruit ,-0.375
61,a,acaudal,,0.0,0.25,0.75,0,320847,lacking a tail or taillike appendage ,-0.25
62,a,acaudate,,0.0,0.25,0.75,0,320847,lacking a tail or taillike appendage ,-0.25
64,a,स्वीकार्य,,0.125,0.0,0.875,2,1124768,"meeting requirements; ""the step makes a satisfactory seat"" ",0.0
68,a,Acceptant,,0.25,0.0,0.75,0,1985557,"accepting willingly; ""acceptive of every new idea""; ""an acceptant type of mind"" ",0.0
69,a,स्वीकार किए जाते हैं,,0.5,0.0,0.5,0,27599,"generally approved or compelling recognition; ""several accepted techniques for treating the condition""; ""his recognized superiority in this kind of work"" ",0.0
